@HD	VN:1.6
@SQ	SN:CAKNBG010000048.1	LN:23128
@SQ	SN:CAKNBG010000049.1	LN:1987000
@SQ	SN:CAKNBG010000050.1	LN:2853227
@SQ	SN:CAKNBG010000051.1	LN:36968
@SQ	SN:CAKNBG010000052.1	LN:469109
@SQ	SN:CAKNBG010000053.1	LN:43658
@SQ	SN:CAKNBG010000054.1	LN:357000
@SQ	SN:CAKNBG010000055.1	LN:86000
@SQ	SN:CAKNBG010000056.1	LN:88414
@SQ	SN:CAKNBG010000057.1	LN:20548
@SQ	SN:CAKNBG010000058.1	LN:32279
@SQ	SN:CAKNBG010000059.1	LN:34086
@SQ	SN:CAKNBG010000060.1	LN:41297
@SQ	SN:CAKNBG010000061.1	LN:14944
@SQ	SN:CAKNBG010000062.1	LN:38993
@SQ	SN:CAKNBG010000063.1	LN:46000
@SQ	SN:CAKNBG010000064.1	LN:36284
@SQ	SN:CAKNBG010000065.1	LN:88420
@SQ	SN:CAKNBG010000066.1	LN:29000
@SQ	SN:CAKNBG010000067.1	LN:73268
@SQ	SN:CAKNBG010000068.1	LN:32864
@SQ	SN:CAKNBG010000069.1	LN:1000
@SQ	SN:CAKNBG010000070.1	LN:81774
@SQ	SN:CAKNBG010000071.1	LN:534209
@SQ	SN:CAKNBG010000072.1	LN:235665
@SQ	SN:CAKNBG010000073.1	LN:1394665
@SQ	SN:CAKNBG010000074.1	LN:53886
@SQ	SN:CAKNBG010000075.1	LN:25000
@SQ	SN:CAKNBG010000076.1	LN:45502
@SQ	SN:CAKNBG010000077.1	LN:167873
@SQ	SN:CAKNBG010000078.1	LN:121801
@SQ	SN:CAKNBG010000079.1	LN:27935
@SQ	SN:CAKNBG010000080.1	LN:22074
@SQ	SN:CAKNBG010000081.1	LN:243472
@SQ	SN:CAKNBG010000082.1	LN:67000
@SQ	SN:CAKNBG010000083.1	LN:823000
@SQ	SN:CAKNBG010000084.1	LN:4290000
@SQ	SN:CAKNBG010000085.1	LN:231000
@SQ	SN:CAKNBG010000086.1	LN:28894
@SQ	SN:CAKNBG010000087.1	LN:35520
@SQ	SN:CAKNBG010000088.1	LN:29058
@SQ	SN:CAKNBG010000089.1	LN:145000
@SQ	SN:CAKNBG010000090.1	LN:42018
@SQ	SN:CAKNBG010000091.1	LN:30844
@SQ	SN:CAKNBG010000092.1	LN:377000
@SQ	SN:CAKNBG010000093.1	LN:44529
@SQ	SN:CAKNBG010000094.1	LN:7272000
@SQ	SN:CAKNBG010000095.1	LN:51991
@SQ	SN:CAKNBG010000096.1	LN:75903
@SQ	SN:CAKNBG010000097.1	LN:31879
@SQ	SN:CAKNBG010000098.1	LN:291072
@SQ	SN:CAKNBG010000099.1	LN:28504
@SQ	SN:CAKNBG010000100.1	LN:34827
@SQ	SN:CAKNBG010000101.1	LN:27845
@SQ	SN:CAKNBG010000102.1	LN:116000
@SQ	SN:CAKNBG010000103.1	LN:1074000
@SQ	SN:CAKNBG010000104.1	LN:37406
@SQ	SN:CAKNBG010000105.1	LN:121086
@SQ	SN:CAKNBG010000106.1	LN:16695
@SQ	SN:CAKNBG010000107.1	LN:231000
@SQ	SN:CAKNBG010000108.1	LN:4000
@SQ	SN:CAKNBG010000109.1	LN:113000
@SQ	SN:CAKNBG010000110.1	LN:780000
@SQ	SN:CAKNBG010000111.1	LN:60030
@SQ	SN:CAKNBG010000112.1	LN:32619
@SQ	SN:CAKNBG010000113.1	LN:44046
@SQ	SN:CAKNBG010000114.1	LN:32569
@SQ	SN:CAKNBG010000115.1	LN:46938
@SQ	SN:CAKNBG010000116.1	LN:16413
@SQ	SN:CAKNBG010000117.1	LN:129000
@SQ	SN:CAKNBG010000118.1	LN:2423077
@SQ	SN:CAKNBG010000119.1	LN:55251
@SQ	SN:CAKNBG010000120.1	LN:2953620
@SQ	SN:CAKNBG010000121.1	LN:26883
@SQ	SN:CAKNBG010000122.1	LN:21874
@SQ	SN:CAKNBG010000123.1	LN:29723
@SQ	SN:CAKNBG010000124.1	LN:22636
@SQ	SN:CAKNBG010000125.1	LN:31565
@SQ	SN:CAKNBG010000126.1	LN:97002
@SQ	SN:CAKNBG010000127.1	LN:29645
@SQ	SN:CAKNBG010000128.1	LN:15313
@SQ	SN:CAKNBG010000129.1	LN:49092
@SQ	SN:CAKNBG010000130.1	LN:93963
@SQ	SN:CAKNBG010000131.1	LN:56046
@SQ	SN:CAKNBG010000132.1	LN:380000
@SQ	SN:CAKNBG010000133.1	LN:9941
@SQ	SN:CAKNBG010000134.1	LN:35994
@SQ	SN:CAKNBG010000135.1	LN:18593
@SQ	SN:CAKNBG010000136.1	LN:829537
@SQ	SN:CAKNBG010000137.1	LN:2635000
@SQ	SN:CAKNBG010000138.1	LN:105259
@SQ	SN:CAKNBG010000139.1	LN:399000
@SQ	SN:CAKNBG010000140.1	LN:282000
@SQ	SN:CAKNBG010000141.1	LN:423000
@SQ	SN:CAKNBG010000142.1	LN:13949
@SQ	SN:CAKNBG010000143.1	LN:227000
@SQ	SN:CAKNBG010000144.1	LN:2000
@SQ	SN:CAKNBG010000145.1	LN:529000
@SQ	SN:CAKNBG010000146.1	LN:28176
@SQ	SN:CAKNBG010000147.1	LN:67000
@SQ	SN:CAKNBG010000148.1	LN:21207
@SQ	SN:CAKNBG010000149.1	LN:528000
@SQ	SN:CAKNBG010000150.1	LN:31357
@SQ	SN:CAKNBG010000151.1	LN:52259
@SQ	SN:CAKNBG010000152.1	LN:106295
@SQ	SN:CAKNBG010000153.1	LN:79000
@SQ	SN:CAKNBG010000154.1	LN:26553
@SQ	SN:CAKNBG010000155.1	LN:83414
@SQ	SN:CAKNBG010000156.1	LN:221000
@SQ	SN:CAKNBG010000157.1	LN:904145
@SQ	SN:CAKNBG010000158.1	LN:14988
@SQ	SN:CAKNBG010000159.1	LN:57616
@SQ	SN:CAKNBG010000160.1	LN:34601
@SQ	SN:CAKNBG010000161.1	LN:32726
@SQ	SN:CAKNBG010000162.1	LN:1191919
@SQ	SN:CAKNBG010000163.1	LN:15183
@SQ	SN:CAKNBG010000164.1	LN:70187
@SQ	SN:CAKNBG010000165.1	LN:20745
@SQ	SN:CAKNBG010000166.1	LN:32237
@SQ	SN:CAKNBG010000167.1	LN:83826
@SQ	SN:CAKNBG010000168.1	LN:41848
@SQ	SN:CAKNBG010000169.1	LN:77560
@SQ	SN:CAKNBG010000170.1	LN:31041
@SQ	SN:CAKNBG010000171.1	LN:48150
@SQ	SN:CAKNBG010000172.1	LN:51460
@SQ	SN:CAKNBG010000173.1	LN:193000
@SQ	SN:CAKNBG010000174.1	LN:39885
@SQ	SN:CAKNBG010000175.1	LN:42479
@SQ	SN:CAKNBG010000176.1	LN:788000
@SQ	SN:CAKNBG010000177.1	LN:52342
@SQ	SN:CAKNBG010000178.1	LN:1970000
@SQ	SN:CAKNBG010000179.1	LN:178347
@SQ	SN:CAKNBG010000180.1	LN:48188
@SQ	SN:CAKNBG010000181.1	LN:46510
@SQ	SN:CAKNBG010000182.1	LN:1575066
@SQ	SN:CAKNBG010000183.1	LN:29401
@SQ	SN:CAKNBG010000184.1	LN:3048000
@SQ	SN:CAKNBG010000185.1	LN:41000
@SQ	SN:CAKNBG010000186.1	LN:11961
@SQ	SN:CAKNBG010000187.1	LN:14688
@SQ	SN:CAKNBG010000188.1	LN:3000
@SQ	SN:CAKNBG010000189.1	LN:62177
@SQ	SN:CAKNBG010000190.1	LN:185789
@SQ	SN:CAKNBG010000191.1	LN:41171
@SQ	SN:CAKNBG010000192.1	LN:22000
@SQ	SN:CAKNBG010000193.1	LN:26245
@SQ	SN:CAKNBG010000194.1	LN:975000
@SQ	SN:CAKNBG010000195.1	LN:15000
@SQ	SN:CAKNBG010000196.1	LN:494000
@SQ	SN:CAKNBG010000197.1	LN:40692
@SQ	SN:CAKNBG010000198.1	LN:15699
@SQ	SN:CAKNBG010000199.1	LN:47270
@SQ	SN:CAKNBG010000200.1	LN:111000
@SQ	SN:CAKNBG010000201.1	LN:1021000
@SQ	SN:CAKNBG010000202.1	LN:47873
@SQ	SN:CAKNBG010000203.1	LN:142000
@SQ	SN:CAKNBG010000204.1	LN:20932
@SQ	SN:CAKNBG010000205.1	LN:18000
@SQ	SN:CAKNBG010000206.1	LN:38622
@SQ	SN:CAKNBG010000207.1	LN:248731
@SQ	SN:CAKNBG010000208.1	LN:947000
@SQ	SN:CAKNBG010000209.1	LN:25808
@SQ	SN:CAKNBG010000210.1	LN:82000
@SQ	SN:CAKNBG010000211.1	LN:39402
@SQ	SN:CAKNBG010000212.1	LN:82007
@SQ	SN:CAKNBG010000213.1	LN:25175
@SQ	SN:CAKNBG010000214.1	LN:2000
@SQ	SN:CAKNBG010000215.1	LN:320000
@SQ	SN:CAKNBG010000216.1	LN:305000
@SQ	SN:CAKNBG010000217.1	LN:43816
@SQ	SN:CAKNBG010000218.1	LN:89000
@SQ	SN:CAKNBG010000219.1	LN:29000
@SQ	SN:CAKNBG010000220.1	LN:21604
@SQ	SN:CAKNBG010000221.1	LN:65586
@SQ	SN:CAKNBG010000222.1	LN:24917
@SQ	SN:CAKNBG010000223.1	LN:43974
@SQ	SN:CAKNBG010000224.1	LN:38294
@SQ	SN:CAKNBG010000225.1	LN:19615
@SQ	SN:CAKNBG010000226.1	LN:21004
@SQ	SN:CAKNBG010000227.1	LN:5090
@SQ	SN:CAKNBG010000228.1	LN:35368
@SQ	SN:CAKNBG010000229.1	LN:61931
@SQ	SN:CAKNBG010000230.1	LN:60000
@SQ	SN:CAKNBG010000231.1	LN:29830
@SQ	SN:CAKNBG010000232.1	LN:386997
@SQ	SN:CAKNBG010000233.1	LN:409000
@SQ	SN:CAKNBG010000234.1	LN:4336000
@SQ	SN:CAKNBG010000235.1	LN:13800
@SQ	SN:CAKNBG010000236.1	LN:27000
@SQ	SN:CAKNBG010000237.1	LN:854709
@SQ	SN:CAKNBG010000238.1	LN:85000
@SQ	SN:CAKNBG010000239.1	LN:639000
@SQ	SN:CAKNBG010000240.1	LN:22341
@SQ	SN:CAKNBG010000241.1	LN:52000
@SQ	SN:CAKNBG010000242.1	LN:31470
@SQ	SN:CAKNBG010000243.1	LN:15776
@SQ	SN:CAKNBG010000244.1	LN:771000
@SQ	SN:CAKNBG010000245.1	LN:144000
@SQ	SN:CAKNBG010000246.1	LN:192210
@SQ	SN:CAKNBG010000247.1	LN:45233
@SQ	SN:CAKNBG010000248.1	LN:175328
@SQ	SN:CAKNBG010000249.1	LN:18016
@SQ	SN:CAKNBG010000250.1	LN:95122
@SQ	SN:CAKNBG010000251.1	LN:262821
@SQ	SN:CAKNBG010000252.1	LN:1055000
@SQ	SN:CAKNBG010000253.1	LN:42034
@SQ	SN:CAKNBG010000254.1	LN:385082
@SQ	SN:CAKNBG010000255.1	LN:21626
@SQ	SN:CAKNBG010000256.1	LN:52345
@SQ	SN:CAKNBG010000257.1	LN:414816
@SQ	SN:CAKNBG010000258.1	LN:241666
@SQ	SN:CAKNBG010000259.1	LN:299748
@SQ	SN:CAKNBG010000260.1	LN:53000
@SQ	SN:CAKNBG010000261.1	LN:462000
@SQ	SN:CAKNBG010000262.1	LN:173980
@SQ	SN:CAKNBG010000263.1	LN:23392
@SQ	SN:CAKNBG010000264.1	LN:957000
@SQ	SN:CAKNBG010000265.1	LN:41232
@SQ	SN:CAKNBG010000266.1	LN:25017
@SQ	SN:CAKNBG010000267.1	LN:548258
@SQ	SN:CAKNBG010000268.1	LN:1143023
@SQ	SN:CAKNBG010000269.1	LN:35000
@SQ	SN:CAKNBG010000270.1	LN:165000
@SQ	SN:CAKNBG010000271.1	LN:63820
@SQ	SN:CAKNBG010000272.1	LN:65000
@SQ	SN:CAKNBG010000273.1	LN:122306
@SQ	SN:CAKNBG010000274.1	LN:954877
@SQ	SN:CAKNBG010000275.1	LN:30575
@SQ	SN:CAKNBG010000276.1	LN:49220
@SQ	SN:CAKNBG010000277.1	LN:480000
@SQ	SN:CAKNBG010000278.1	LN:1538000
@SQ	SN:CAKNBG010000279.1	LN:97570
@SQ	SN:CAKNBG010000280.1	LN:32709
@SQ	SN:CAKNBG010000281.1	LN:15590
@SQ	SN:CAKNBG010000282.1	LN:39449
@SQ	SN:CAKNBG010000283.1	LN:249000
@SQ	SN:CAKNBG010000284.1	LN:1627000
@SQ	SN:CAKNBG010000285.1	LN:35147
@SQ	SN:CAKNBG010000286.1	LN:1133833
@SQ	SN:CAKNBG010000287.1	LN:24605
@SQ	SN:CAKNBG010000288.1	LN:774155
@SQ	SN:CAKNBG010000289.1	LN:30301
@SQ	SN:CAKNBG010000290.1	LN:66882
@SQ	SN:CAKNBG010000291.1	LN:128000
@SQ	SN:CAKNBG010000292.1	LN:26000
@SQ	SN:CAKNBG010000293.1	LN:201000
@SQ	SN:CAKNBG010000294.1	LN:293755
@SQ	SN:CAKNBG010000295.1	LN:35661
@SQ	SN:CAKNBG010000296.1	LN:880429
@SQ	SN:CAKNBG010000297.1	LN:3214000
@SQ	SN:CAKNBG010000298.1	LN:39389
@SQ	SN:CAKNBG010000299.1	LN:77330
@SQ	SN:CAKNBG010000300.1	LN:28841
@SQ	SN:CAKNBG010000301.1	LN:1029000
@SQ	SN:CAKNBG010000302.1	LN:39238
@SQ	SN:CAKNBG010000303.1	LN:45600
@SQ	SN:CAKNBG010000304.1	LN:74498
@SQ	SN:CAKNBG010000305.1	LN:5973000
@SQ	SN:CAKNBG010000306.1	LN:1181000
@SQ	SN:CAKNBG010000307.1	LN:42319
@SQ	SN:CAKNBG010000308.1	LN:70421
@SQ	SN:CAKNBG010000309.1	LN:13429
@SQ	SN:CAKNBG010000310.1	LN:91830
@SQ	SN:CAKNBG010000311.1	LN:66677
@SQ	SN:CAKNBG010000312.1	LN:163078
@SQ	SN:CAKNBG010000313.1	LN:34344
@SQ	SN:CAKNBG010000314.1	LN:271127
@SQ	SN:CAKNBG010000315.1	LN:44212
@SQ	SN:CAKNBG010000316.1	LN:68624
@SQ	SN:CAKNBG010000317.1	LN:25984
@SQ	SN:CAKNBG010000318.1	LN:74947
@SQ	SN:CAKNBG010000319.1	LN:91000
@SQ	SN:CAKNBG010000320.1	LN:76859
@SQ	SN:CAKNBG010000321.1	LN:75107
@SQ	SN:CAKNBG010000322.1	LN:46991
@SQ	SN:CAKNBG010000323.1	LN:168729
@SQ	SN:CAKNBG010000324.1	LN:165000
@SQ	SN:CAKNBG010000325.1	LN:28786
@SQ	SN:CAKNBG010000326.1	LN:21723
@SQ	SN:CAKNBG010000327.1	LN:1811622
@SQ	SN:CAKNBG010000328.1	LN:30032
@SQ	SN:CAKNBG010000329.1	LN:1054804
@SQ	SN:CAKNBG010000330.1	LN:20861
@SQ	SN:CAKNBG010000331.1	LN:38086
@SQ	SN:CAKNBG010000332.1	LN:68629
@SQ	SN:CAKNBG010000333.1	LN:16335
@SQ	SN:CAKNBG010000334.1	LN:322000
@SQ	SN:CAKNBG010000335.1	LN:42846
@SQ	SN:CAKNBG010000336.1	LN:61916
@SQ	SN:CAKNBG010000337.1	LN:237283
@SQ	SN:CAKNBG010000338.1	LN:27273
@SQ	SN:CAKNBG010000339.1	LN:1589000
@SQ	SN:CAKNBG010000340.1	LN:79515
@SQ	SN:CAKNBG010000341.1	LN:29772
@SQ	SN:CAKNBG010000342.1	LN:89268
@SQ	SN:CAKNBG010000343.1	LN:39298
@SQ	SN:CAKNBG010000344.1	LN:46247
@SQ	SN:CAKNBG010000345.1	LN:40242
@SQ	SN:CAKNBG010000346.1	LN:26237
@SQ	SN:CAKNBG010000347.1	LN:109000
@SQ	SN:CAKNBG010000348.1	LN:59578
@SQ	SN:CAKNBG010000349.1	LN:141738
@SQ	SN:CAKNBG010000350.1	LN:45262
@SQ	SN:CAKNBG010000351.1	LN:355694
@SQ	SN:CAKNBG010000352.1	LN:45350
@SQ	SN:CAKNBG010000353.1	LN:91000
@SQ	SN:CAKNBG010000354.1	LN:171540
@SQ	SN:CAKNBG010000355.1	LN:24442
@SQ	SN:CAKNBG010000356.1	LN:23375
@SQ	SN:CAKNBG010000357.1	LN:185239
@SQ	SN:CAKNBG010000358.1	LN:84862
@SQ	SN:CAKNBG010000359.1	LN:29407
@SQ	SN:CAKNBG010000360.1	LN:24045
@SQ	SN:CAKNBG010000361.1	LN:30735
@SQ	SN:CAKNBG010000362.1	LN:23710
@SQ	SN:CAKNBG010000363.1	LN:911000
@SQ	SN:CAKNBG010000364.1	LN:50775
@SQ	SN:CAKNBG010000365.1	LN:18502
@SQ	SN:CAKNBG010000366.1	LN:34144
@SQ	SN:CAKNBG010000367.1	LN:1499000
@SQ	SN:CAKNBG010000368.1	LN:618000
@SQ	SN:CAKNBG010000369.1	LN:99965
@SQ	SN:CAKNBG010000370.1	LN:47000
@SQ	SN:CAKNBG010000371.1	LN:63396
@SQ	SN:CAKNBG010000372.1	LN:439486
@SQ	SN:CAKNBG010000373.1	LN:47999
@SQ	SN:CAKNBG010000374.1	LN:31448
@SQ	SN:CAKNBG010000375.1	LN:26639
@SQ	SN:CAKNBG010000376.1	LN:81000
@SQ	SN:CAKNBG010000377.1	LN:27945
@SQ	SN:CAKNBG010000378.1	LN:58000
@SQ	SN:CAKNBG010000379.1	LN:31278
@SQ	SN:CAKNBG010000380.1	LN:21293
@SQ	SN:CAKNBG010000381.1	LN:1156000
@SQ	SN:CAKNBG010000382.1	LN:37821
@SQ	SN:CAKNBG010000383.1	LN:21772
@SQ	SN:CAKNBG010000384.1	LN:62979
@SQ	SN:CAKNBG010000385.1	LN:20843
@SQ	SN:CAKNBG010000386.1	LN:140000
@SQ	SN:CAKNBG010000387.1	LN:46668
@SQ	SN:CAKNBG010000388.1	LN:50000
@SQ	SN:CAKNBG010000389.1	LN:80951
@SQ	SN:CAKNBG010000390.1	LN:1000
@SQ	SN:CAKNBG010000391.1	LN:1542000
@SQ	SN:CAKNBG010000392.1	LN:25025
@SQ	SN:CAKNBG010000393.1	LN:32000
@SQ	SN:CAKNBG010000394.1	LN:85000
@SQ	SN:CAKNBG010000395.1	LN:57707
@SQ	SN:CAKNBG010000396.1	LN:39000
@SQ	SN:CAKNBG010000397.1	LN:25317
@SQ	SN:CAKNBG010000398.1	LN:83043
@SQ	SN:CAKNBG010000399.1	LN:98000
@SQ	SN:CAKNBG010000400.1	LN:1265000
@SQ	SN:CAKNBG010000401.1	LN:581000
@SQ	SN:CAKNBG010000402.1	LN:49852
@SQ	SN:CAKNBG010000403.1	LN:18412
@SQ	SN:CAKNBG010000404.1	LN:52000
@SQ	SN:CAKNBG010000405.1	LN:439000
@SQ	SN:CAKNBG010000406.1	LN:26445
@SQ	SN:CAKNBG010000407.1	LN:52311
@SQ	SN:CAKNBG010000408.1	LN:52000
@SQ	SN:CAKNBG010000409.1	LN:84239
@SQ	SN:CAKNBG010000410.1	LN:39378
@SQ	SN:CAKNBG010000411.1	LN:403197
@SQ	SN:CAKNBG010000412.1	LN:34000
@SQ	SN:CAKNBG010000413.1	LN:65297
@SQ	SN:CAKNBG010000414.1	LN:968203
@SQ	SN:OV839400.1	LN:16558
OV839397.1	1	2110544	+	.
OV839398.1	1	653593	+	.
OV839396.1	1	10404007	+	.
OV839360.1	1	89764762	+	.
OV839363.1	1	49239837	+	.
OV839375.1	1	34431249	+	.
OV839391.1	1	21432086	+	.
OV839378.1	1	31036983	+	.
OV839390.1	1	21757624	+	.
OV839389.1	1	21930428	+	.
OV839362.1	1	55413727	+	.
OV839371.1	1	39876367	+	.
OV839365.1	1	47463143	+	.
OV839385.1	1	25380689	+	.
OV839361.1	1	55805604	+	.
OV839368.1	1	44730017	+	.
OV839379.1	1	29659553	+	.
OV839374.1	1	35025567	+	.
OV839386.1	1	23930680	+	.
OV839370.1	1	41278614	+	.
OV839383.1	1	27196166	+	.
OV839395.1	1	17587634	+	.
OV839366.1	1	45224516	+	.
OV839376.1	1	31970334	+	.
OV839394.1	1	21076603	+	.
OV839399.1	1	428882	+	.
OV839388.1	1	22464520	+	.
OV839387.1	1	23474178	+	.
OV839393.1	1	21169547	+	.
OV839377.1	1	31417546	+	.
OV839382.1	1	27960081	+	.
OV839367.1	1	44895232	+	.
OV839373.1	1	37312042	+	.
OV839384.1	1	25482632	+	.
OV839392.1	1	21271502	+	.
OV839364.1	1	48363854	+	.
OV839381.1	1	28026665	+	.
OV839372.1	1	37569235	+	.
OV839380.1	1	28745018	+	.
OV839369.1	1	44706199	+	.
